epoch,train_micro_p,train_micro_r,train_micro_f1,train_macro_p,train_macro_r,train_macro_f1,val_micro_p,val_micro_r,val_micro_f1,val_macro_p,val_macro_r,val_macro_f1
1,1.0000,0.0909,0.1667,0.0333,0.0333,0.0333,0.6171,0.2370,0.3425,0.0874,0.0577,0.0667
2,0.7500,0.3750,0.5000,0.0667,0.0389,0.0489,0.5858,0.2916,0.3894,0.1221,0.0773,0.0818
3,1.0000,0.6000,0.7500,0.1000,0.1000,0.1000,0.5749,0.3475,0.4331,0.1484,0.0931,0.0985
4,0.7143,0.5000,0.5882,0.0778,0.1000,0.0833,0.6040,0.3449,0.4391,0.2320,0.1059,0.1219
5,0.6667,0.2222,0.3333,0.0667,0.0500,0.0556,0.6002,0.3211,0.4184,0.1940,0.1001,0.1127
6,0.5000,0.2500,0.3333,0.0500,0.0500,0.0444,0.5756,0.3571,0.4407,0.2581,0.1092,0.1267
7,0.6667,0.3333,0.4444,0.0500,0.0667,0.0556,0.5534,0.4329,0.4858,0.2530,0.1231,0.1299
8,0.4286,0.3333,0.3750,0.0833,0.0833,0.0778,0.5742,0.4149,0.4817,0.2421,0.1243,0.1378
9,0.4286,0.3000,0.3529,0.0556,0.0667,0.0600,0.5741,0.3507,0.4354,0.2242,0.1247,0.1432
10,1.0000,0.6667,0.8000,0.1667,0.1500,0.1556,0.5536,0.3879,0.4562,0.2327,0.1342,0.1508
11,1.0000,0.7778,0.8750,0.2000,0.2000,0.2000,0.5737,0.3751,0.4536,0.3011,0.1260,0.1509
12,0.8000,0.4444,0.5714,0.0833,0.0722,0.0767,0.5738,0.3622,0.4441,0.2346,0.1244,0.1457
13,0.8571,0.6000,0.7059,0.1500,0.1556,0.1489,0.5481,0.3693,0.4413,0.2224,0.1282,0.1477
14,0.8889,0.7273,0.8000,0.2500,0.2500,0.2444,0.5490,0.3597,0.4346,0.2589,0.1353,0.1613
15,1.0000,0.7143,0.8333,0.1000,0.0833,0.0889,0.5505,0.4027,0.4651,0.2390,0.1415,0.1566
16,0.8000,0.5000,0.6154,0.1167,0.1000,0.1000,0.5286,0.3565,0.4258,0.2096,0.1334,0.1531
17,1.0000,0.8889,0.9412,0.2000,0.2000,0.2000,0.5554,0.3571,0.4347,0.2358,0.1368,0.1606
18,0.7143,0.8333,0.7692,0.1000,0.1333,0.1111,0.5396,0.3635,0.4344,0.2346,0.1377,0.1573
19,0.8889,0.4706,0.6154,0.1667,0.1556,0.1600,0.5203,0.3712,0.4333,0.2018,0.1490,0.1648
20,1.0000,0.7500,0.8571,0.1667,0.1500,0.1556,0.5217,0.3622,0.4276,0.2037,0.1358,0.1518
21,1.0000,0.8750,0.9333,0.1667,0.1667,0.1667,0.5188,0.3629,0.4271,0.1812,0.1264,0.1402
22,0.9000,1.0000,0.9474,0.1500,0.1667,0.1556,0.5112,0.4380,0.4718,0.1932,0.1553,0.1626
23,1.0000,0.7778,0.8750,0.1667,0.1500,0.1556,0.5351,0.3571,0.4284,0.2189,0.1357,0.1561
24,0.7778,0.7778,0.7778,0.1667,0.1667,0.1667,0.5152,0.3590,0.4232,0.2025,0.1430,0.1584
25,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5245,0.4194,0.4661,0.2095,0.1525,0.1655
26,1.0000,0.8889,0.9412,0.1333,0.1333,0.1333,0.5242,0.3969,0.4518,0.1953,0.1475,0.1618
27,1.0000,0.9333,0.9655,0.3333,0.3222,0.3267,0.5299,0.3757,0.4397,0.2034,0.1462,0.1626
28,1.0000,0.7143,0.8333,0.1333,0.1333,0.1333,0.5273,0.3725,0.4366,0.1924,0.1382,0.1548
29,0.9091,1.0000,0.9524,0.2333,0.2333,0.2333,0.5131,0.3886,0.4423,0.2019,0.1506,0.1648
30,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5141,0.4457,0.4775,0.2008,0.1552,0.1626
31,1.0000,0.9000,0.9474,0.2000,0.1833,0.1889,0.5159,0.3854,0.4412,0.2034,0.1502,0.1674
32,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5059,0.4162,0.4567,0.1912,0.1527,0.1642
33,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5080,0.4284,0.4648,0.2141,0.1560,0.1705
34,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5136,0.4252,0.4652,0.1975,0.1654,0.1758
35,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5100,0.3776,0.4339,0.2058,0.1449,0.1617
36,0.8889,1.0000,0.9412,0.1667,0.1667,0.1667,0.5221,0.4091,0.4588,0.2056,0.1486,0.1653
37,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5164,0.4143,0.4597,0.1963,0.1598,0.1718
38,1.0000,0.9000,0.9474,0.2333,0.2167,0.2222,0.5096,0.4085,0.4535,0.1977,0.1597,0.1733
39,1.0000,0.8889,0.9412,0.1667,0.1500,0.1556,0.5232,0.4136,0.4620,0.2114,0.1546,0.1714
40,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5188,0.3899,0.4452,0.1865,0.1549,0.1628
41,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5207,0.3956,0.4496,0.2127,0.1575,0.1751
42,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.4928,0.3943,0.4381,0.1931,0.1557,0.1696
43,0.6667,0.7500,0.7059,0.1500,0.1500,0.1444,0.4968,0.4021,0.4444,0.2076,0.1584,0.1735
44,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5091,0.4310,0.4668,0.2008,0.1584,0.1715
45,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5225,0.3956,0.4503,0.2002,0.1474,0.1638
46,1.0000,0.9000,0.9474,0.2000,0.2000,0.2000,0.5145,0.3982,0.4490,0.1915,0.1529,0.1646
47,1.0000,0.8750,0.9333,0.1333,0.1333,0.1333,0.5142,0.3956,0.4472,0.2156,0.1564,0.1752
48,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4931,0.4123,0.4491,0.1926,0.1616,0.1722
49,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5016,0.4027,0.4467,0.2001,0.1538,0.1682
50,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5061,0.4277,0.4636,0.1974,0.1597,0.1714
51,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5098,0.4175,0.4590,0.2027,0.1581,0.1729
52,1.0000,0.9000,0.9474,0.2000,0.2000,0.2000,0.5108,0.3943,0.4451,0.2055,0.1549,0.1700
53,0.8182,0.7500,0.7826,0.2167,0.2222,0.2156,0.5020,0.3950,0.4421,0.1926,0.1550,0.1692
54,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5098,0.4175,0.4590,0.2038,0.1593,0.1734
55,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5085,0.4046,0.4506,0.1894,0.1539,0.1669
56,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4890,0.3995,0.4397,0.1927,0.1646,0.1750
57,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4996,0.4290,0.4616,0.2014,0.1610,0.1720
58,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.5133,0.3976,0.4481,0.2052,0.1602,0.1767
59,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5041,0.3937,0.4421,0.1812,0.1560,0.1657
60,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5148,0.4033,0.4523,0.2013,0.1607,0.1757
61,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5064,0.4066,0.4510,0.2020,0.1614,0.1768
62,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5052,0.4033,0.4486,0.1943,0.1548,0.1684
63,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5047,0.4451,0.4730,0.1958,0.1631,0.1711
64,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5040,0.4040,0.4485,0.1918,0.1583,0.1707
65,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.4980,0.4066,0.4477,0.1985,0.1607,0.1739
66,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5075,0.4104,0.4538,0.2022,0.1576,0.1736
67,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4924,0.4136,0.4496,0.1875,0.1596,0.1687
68,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.4959,0.4245,0.4574,0.2077,0.1630,0.1777
69,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4945,0.4322,0.4613,0.2064,0.1675,0.1794
70,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5000,0.4136,0.4527,0.2075,0.1614,0.1778
71,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5111,0.4136,0.4572,0.1995,0.1572,0.1726
72,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4966,0.3706,0.4244,0.1923,0.1515,0.1667
73,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5023,0.4162,0.4552,0.1996,0.1631,0.1758
74,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5016,0.4149,0.4541,0.1881,0.1573,0.1664
75,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5041,0.4374,0.4684,0.2053,0.1697,0.1821
76,1.0000,1.0000,1.0000,0.3000,0.3000,0.3000,0.5067,0.3892,0.4402,0.2031,0.1540,0.1714
77,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4945,0.4014,0.4431,0.1998,0.1601,0.1751
78,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5096,0.4104,0.4546,0.2091,0.1594,0.1770
79,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5016,0.3937,0.4412,0.2064,0.1571,0.1759
80,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5036,0.4059,0.4495,0.2021,0.1584,0.1745
81,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5062,0.4181,0.4580,0.1996,0.1594,0.1738
82,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5000,0.4072,0.4488,0.1930,0.1622,0.1737
83,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5075,0.3924,0.4426,0.2016,0.1499,0.1673
84,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.5130,0.4066,0.4536,0.2085,0.1580,0.1755
85,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5036,0.4008,0.4464,0.1904,0.1582,0.1703
86,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.4943,0.3873,0.4343,0.1994,0.1465,0.1619
87,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5103,0.3988,0.4477,0.1983,0.1574,0.1725
88,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.5045,0.3950,0.4431,0.1919,0.1543,0.1679
89,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5068,0.4040,0.4496,0.1992,0.1585,0.1739
90,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.5028,0.4040,0.4480,0.1927,0.1548,0.1671
91,1.0000,0.9167,0.9565,0.2667,0.2667,0.2667,0.5028,0.4098,0.4515,0.1988,0.1557,0.1706
92,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5074,0.3976,0.4458,0.1967,0.1527,0.1691
93,1.0000,1.0000,1.0000,0.1333,0.1333,0.1333,0.4958,0.4181,0.4537,0.1886,0.1604,0.1688
94,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5004,0.4226,0.4582,0.1888,0.1612,0.1657
95,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.4959,0.4265,0.4586,0.2034,0.1650,0.1781
96,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5064,0.4078,0.4518,0.1951,0.1586,0.1718
97,1.0000,1.0000,1.0000,0.2333,0.2333,0.2333,0.4976,0.3969,0.4416,0.1916,0.1508,0.1651
98,1.0000,1.0000,1.0000,0.2667,0.2667,0.2667,0.5046,0.3899,0.4399,0.1897,0.1565,0.1678
99,1.0000,1.0000,1.0000,0.1667,0.1667,0.1667,0.4947,0.4162,0.4520,0.1879,0.1626,0.1707
100,1.0000,1.0000,1.0000,0.2000,0.2000,0.2000,0.5132,0.4130,0.4577,0.1997,0.1581,0.1733
